Number of vertexs in solution: 1533
It's a Positive Influence Dominator Set
It's NOT minimal! Redundant vertex: 7


	0
	1
	2
(D) 	3
	4
(D) 	5
	6
(D) 	7
(D) 	8
	9
	10
	11
	12
	13
(D) 	14
(D) 	15
	16
	17
	18
	19
(D) 	20
(D) 	21
(D) 	22
	23
	24
	25
(D) 	26
(D) 	27
(D) 	28
(D) 	29
	30
(D) 	31
	32
	33
(D) 	34
	35
	36
(D) 	37
(D) 	38
	39
	40
	41
(D) 	42
	43
(D) 	44
	45
	46
	47
	48
	49
	50
(D) 	51
	52
(D) 	53
	54
	55
(D) 	56
(D) 	57
(D) 	58
	59
	60
	61
(D) 	62
(D) 	63
	64
	65
(D) 	66
	67
(D) 	68
(D) 	69
	70
	71
	72
	73
	74
	75
	76
	77
	78
	79
	80
(D) 	81
	82
	83
	84
	85
	86
	87
(D) 	88
	89
(D) 	90
(D) 	91
(D) 	92
	93
	94
	95
	96
(D) 	97
(D) 	98
	99
(D) 	100
(D) 	101
	102
	103
(D) 	104
(D) 	105
(D) 	106
(D) 	107
	108
	109
(D) 	110
	111
(D) 	112
(D) 	113
	114
	115
	116
(D) 	117
(D) 	118
	119
	120
	121
(D) 	122
(D) 	123
	124
(D) 	125
(D) 	126
(D) 	127
	128
	129
	130
	131
	132
(D) 	133
	134
(D) 	135
(D) 	136
(D) 	137
	138
	139
	140
	141
(D) 	142
(D) 	143
(D) 	144
	145
	146
	147
(D) 	148
(D) 	149
	150
(D) 	151
(D) 	152
	153
	154
	155
	156
	157
	158
	159
	160
	161
	162
	163
(D) 	164
	165
(D) 	166
	167
(D) 	168
(D) 	169
(D) 	170
(D) 	171
	172
(D) 	173
	174
(D) 	175
	176
	177
	178
	179
(D) 	180
(D) 	181
	182
	183
(D) 	184
	185
	186
(D) 	187
(D) 	188
	189
(D) 	190
	191
	192
	193
(D) 	194
	195
	196
	197
	198
	199
	200
	201
	202
(D) 	203
(D) 	204
	205
(D) 	206
(D) 	207
	208
(D) 	209
(D) 	210
	211
	212
	213
(D) 	214
(D) 	215
	216
	217
	218
(D) 	219
	220
(D) 	221
	222
	223
	224
(D) 	225
(D) 	226
(D) 	227
(D) 	228
	229
	230
(D) 	231
	232
	233
	234
	235
	236
(D) 	237
(D) 	238
(D) 	239
(D) 	240
	241
	242
	243
	244
(D) 	245
(D) 	246
(D) 	247
	248
(D) 	249
(D) 	250
	251
	252
	253
	254
(D) 	255
(D) 	256
(D) 	257
(D) 	258
(D) 	259
(D) 	260
	261
	262
	263
(D) 	264
	265
	266
	267
(D) 	268
(D) 	269
	270
	271
	272
(D) 	273
(D) 	274
(D) 	275
(D) 	276
	277
	278
	279
	280
	281
	282
(D) 	283
	284
	285
	286
	287
(D) 	288
	289
	290
	291
	292
(D) 	293
	294
(D) 	295
(D) 	296
	297
(D) 	298
(D) 	299
	300
